date,open,high,low,close,volume,average,barCount
2026-04-09 01:31:28-04:00,4743.9,4743.9,4743.9,4743.9,1.0,4743.9,1
2026-04-09 01:31:29-04:00,4744.3,4744.4,4743.9,4743.9,5.0,4744.24,4
2026-04-09 01:31:30-04:00,4743.9,4744.1,4743.9,4744.1,4.0,4744.03,3
2026-04-09 01:31:31-04:00,4743.8,4743.9,4743.4,4743.4,5.0,4743.62,5
2026-04-09 01:31:32-04:00,4743.6,4743.8,4743.6,4743.8,4.0,4743.75,2
2026-04-09 01:31:33-04:00,4743.8,4743.8,4743.8,4743.8,0.0,4743.8,0
2026-04-09 01:31:34-04:00,4743.4,4743.6,4743.4,4743.6,3.0,4743.5,3
2026-04-09 01:31:35-04:00,4743.8,4743.8,4743.8,4743.8,1.0,4743.8,1
2026-04-09 01:31:36-04:00,4743.6,4743.6,4743.6,4743.6,1.0,4743.6,1
2026-04-09 01:31:37-04:00,4743.6,4743.6,4743.6,4743.6,0.0,4743.6,0
2026-04-09 01:31:38-04:00,4743.4,4743.4,4743.4,4743.4,1.0,4743.4,1
2026-04-09 01:31:39-04:00,4743.5,4743.5,4743.5,4743.5,1.0,4743.5,1
2026-04-09 01:31:40-04:00,4743.3,4743.3,4743.2,4743.2,6.0,4743.23,2
2026-04-09 01:31:41-04:00,4743.0,4743.0,4743.0,4743.0,1.0,4743.0,1
2026-04-09 01:31:42-04:00,4743.3,4743.3,4743.0,4743.0,2.0,4743.15,2
2026-04-09 01:31:43-04:00,4743.3,4743.3,4743.3,4743.3,2.0,4743.3,2
2026-04-09 01:31:44-04:00,4743.3,4743.3,4743.1,4743.1,3.0,4743.23,2
2026-04-09 01:31:45-04:00,4743.1,4743.1,4743.1,4743.1,1.0,4743.1,1
2026-04-09 01:31:46-04:00,4743.0,4743.3,4743.0,4743.3,3.0,4743.1,2
2026-04-09 01:31:47-04:00,4743.3,4743.3,4743.3,4743.3,0.0,4743.3,0
2026-04-09 01:31:48-04:00,4743.6,4743.7,4743.6,4743.7,4.0,4743.65,2
2026-04-09 01:31:49-04:00,4744.0,4744.0,4743.9,4743.9,4.0,4743.98,3
2026-04-09 01:31:50-04:00,4744.0,4744.0,4744.0,4744.0,1.0,4744.0,1
2026-04-09 01:31:51-04:00,4744.0,4744.0,4744.0,4744.0,0.0,4744.0,0
2026-04-09 01:31:52-04:00,4744.1,4744.1,4744.1,4744.1,1.0,4744.1,1
2026-04-09 01:31:53-04:00,4744.4,4744.5,4744.3,4744.3,11.0,4744.38,6
2026-04-09 01:31:54-04:00,4743.7,4743.9,4743.7,4743.9,4.0,4743.8,3
2026-04-09 01:31:55-04:00,4743.9,4743.9,4743.9,4743.9,0.0,4743.9,0
2026-04-09 01:31:56-04:00,4743.5,4743.5,4743.2,4743.2,6.0,4743.32,4
2026-04-09 01:31:57-04:00,4743.1,4743.1,4743.0,4743.0,3.0,4743.07,2
2026-04-09 01:31:58-04:00,4743.0,4743.0,4743.0,4743.0,0.0,4743.0,0
