timestamp,open,high,low,close,volume,average,barCount
2026-03-30 22:48:00-04:00,4605.1,4605.3,4599.3,4599.8,242.0,4601.47,183
2026-03-30 22:49:00-04:00,4600.0,4601.7,4598.7,4601.0,91.0,4600.23,83
2026-03-30 22:50:00-04:00,4601.0,4603.4,4598.9,4603.4,114.0,4600.72,95
2026-03-30 22:51:00-04:00,4603.0,4607.3,4602.7,4605.2,109.0,4605.22,94
2026-03-30 22:52:00-04:00,4605.4,4609.1,4604.4,4608.8,49.0,4606.59,44
2026-03-30 22:53:00-04:00,4608.7,4609.8,4605.2,4606.0,59.0,4607.94,52
2026-03-30 22:54:00-04:00,4606.2,4607.1,4599.3,4600.9,61.0,4602.63,56
2026-03-30 22:55:00-04:00,4601.1,4602.0,4595.7,4596.7,90.0,4597.92,78
2026-03-30 22:56:00-04:00,4597.4,4600.2,4597.3,4598.2,48.0,4598.79,42
2026-03-30 22:57:00-04:00,4598.9,4603.3,4598.4,4602.9,120.0,4600.95,69
2026-03-30 22:58:00-04:00,4603.5,4604.1,4601.8,4602.0,34.0,4602.96,31
2026-03-30 22:59:00-04:00,4599.9,4600.8,4597.7,4597.8,61.0,4599.54,55
2026-03-30 23:00:00-04:00,4597.5,4599.2,4596.0,4596.1,70.0,4597.44,63
2026-03-30 23:01:00-04:00,4596.1,4599.9,4596.1,4599.4,45.0,4597.96,34
2026-03-30 23:02:00-04:00,4599.0,4600.1,4597.0,4599.7,17.0,4598.69,17
2026-03-30 23:03:00-04:00,4598.7,4602.0,4598.6,4601.4,46.0,4601.0,39
2026-03-30 23:04:00-04:00,4602.2,4602.3,4599.4,4599.4,44.0,4600.73,38
2026-03-30 23:05:00-04:00,4599.3,4601.9,4596.0,4601.5,93.0,4598.24,75
2026-03-30 23:06:00-04:00,4601.5,4602.0,4599.9,4601.6,32.0,4601.04,28
2026-03-30 23:07:00-04:00,4602.7,4607.3,4602.5,4605.4,134.0,4604.72,95
2026-03-30 23:08:00-04:00,4605.4,4607.0,4604.6,4605.6,51.0,4605.77,41
2026-03-30 23:09:00-04:00,4605.3,4605.6,4599.2,4600.1,117.0,4602.03,75
2026-03-30 23:10:00-04:00,4599.4,4602.8,4597.8,4600.5,122.0,4599.89,87
2026-03-30 23:11:00-04:00,4600.2,4602.6,4599.9,4601.9,60.0,4601.24,54
2026-03-30 23:12:00-04:00,4602.6,4604.0,4601.7,4602.7,45.0,4602.64,44
2026-03-30 23:13:00-04:00,4603.2,4603.2,4602.0,4603.2,27.0,4602.55,24
2026-03-30 23:14:00-04:00,4602.3,4602.3,4598.4,4600.0,107.0,4600.13,76
2026-03-30 23:15:00-04:00,4600.4,4600.8,4597.4,4598.5,50.0,4599.72,43
2026-03-30 23:16:00-04:00,4598.4,4599.2,4594.1,4596.5,151.0,4596.8,99
2026-03-30 23:17:00-04:00,4596.5,4597.7,4595.9,4597.0,29.0,4596.78,27
2026-03-30 23:18:00-04:00,4596.5,4596.5,4594.0,4594.8,54.0,4595.14,38
2026-03-30 23:19:00-04:00,4595.5,4596.1,4593.3,4593.3,19.0,4595.18,15
2026-03-30 23:20:00-04:00,4593.0,4596.6,4591.3,4596.1,59.0,4593.51,47
2026-03-30 23:21:00-04:00,4596.5,4596.5,4592.8,4594.5,27.0,4594.11,26
2026-03-30 23:22:00-04:00,4593.3,4593.7,4591.3,4591.5,29.0,4592.31,24
2026-03-30 23:23:00-04:00,4592.4,4594.7,4591.6,4592.1,58.0,4593.12,49
2026-03-30 23:24:00-04:00,4591.9,4593.4,4585.5,4587.5,309.0,4588.95,136
2026-03-30 23:25:00-04:00,4586.9,4589.5,4585.8,4588.4,58.0,4587.93,50
2026-03-30 23:26:00-04:00,4588.0,4592.7,4588.0,4592.6,74.0,4590.34,54
2026-03-30 23:27:00-04:00,4592.0,4593.6,4590.0,4590.6,46.0,4591.59,42
2026-03-30 23:28:00-04:00,4590.0,4590.9,4588.4,4590.9,53.0,4589.46,49
2026-03-30 23:29:00-04:00,4591.6,4592.2,4590.9,4591.7,21.0,4591.64,17
2026-03-30 23:30:00-04:00,4591.1,4593.0,4590.8,4590.9,11.0,4591.94,11
2026-03-30 23:31:00-04:00,4590.9,4591.8,4590.4,4591.5,23.0,4591.19,18
2026-03-30 23:32:00-04:00,4590.7,4591.4,4590.5,4590.7,26.0,4591.03,22
2026-03-30 23:33:00-04:00,4590.1,4592.4,4590.1,4591.9,9.0,4591.58,9
2026-03-30 23:34:00-04:00,4592.3,4595.3,4592.3,4594.6,58.0,4593.99,49
2026-03-30 23:35:00-04:00,4594.3,4595.5,4591.5,4592.0,55.0,4593.68,47
2026-03-30 23:36:00-04:00,4591.4,4591.4,4588.1,4588.9,41.0,4589.12,30
2026-03-30 23:37:00-04:00,4588.4,4592.9,4588.4,4591.0,39.0,4591.45,37
2026-03-30 23:38:00-04:00,4591.3,4591.6,4590.0,4590.0,33.0,4591.12,17
2026-03-30 23:39:00-04:00,4590.0,4591.5,4586.0,4586.6,100.0,4589.12,71
2026-03-30 23:40:00-04:00,4586.4,4587.0,4583.7,4584.5,166.0,4585.4,104
2026-03-30 23:41:00-04:00,4584.1,4585.0,4583.7,4584.6,38.0,4584.68,26
2026-03-30 23:42:00-04:00,4583.9,4586.2,4581.8,4586.2,125.0,4584.26,81
2026-03-30 23:43:00-04:00,4587.0,4588.2,4585.1,4585.3,84.0,4586.83,66
